lg_code,rep_lon,rep_lat,rep_srid,rep_scale,plygn_fname,plygn_kcode,plygn_fmt,plygn_srid,plygn_scale
472018,127.679218,26.212295,EPSG:6668,,,,,,
472051,127.778637,26.281581,EPSG:6668,,,,,,
472077,124.185253,24.344467,EPSG:6668,,,,,,
472085,127.721804,26.245816,EPSG:6668,,,,,,
472093,127.977474,26.591555,EPSG:6668,,,,,,
472107,127.665823,26.123542,EPSG:6668,,,,,,
472115,127.805694,26.334354,EPSG:6668,,,,,,
472123,127.681233,26.177142,EPSG:6668,,,,,,
472131,127.85748,26.379151,EPSG:6668,,,,,,
472140,125.294722,24.789929,EPSG:6668,,,,,,
472158,127.770626,26.163142,EPSG:6668,,,,,,
473014,128.177907,26.745638,EPSG:6668,,,,,,
473022,128.120159,26.701712,EPSG:6668,,,,,,
473031,128.15687,26.633284,EPSG:6668,,,,,,
473065,127.972739,26.682527,EPSG:6668,,,,,,
473081,127.898175,26.658035,EPSG:6668,,,,,,
473111,127.85357,26.497502,EPSG:6668,,,,,,
473138,127.975615,26.481585,EPSG:6668,,,,,,
473146,127.926011,26.456137,EPSG:6668,,,,,,
473154,127.807014,26.71349,EPSG:6668,,,,,,
473243,127.744424,26.396154,EPSG:6668,,,,,,
473251,127.75538,26.361723,EPSG:6668,,,,,,
473260,127.763901,26.320069,EPSG:6668,,,,,,
473278,127.793027,26.301079,EPSG:6668,,,,,,
473286,127.789605,26.261986,EPSG:6668,,,,,,
473294,127.758819,26.222856,EPSG:6668,,,,,,
473481,127.754794,26.199502,EPSG:6668,,,,,,
473502,127.728554,26.191122,EPSG:6668,,,,,,
473537,127.364289,26.197331,EPSG:6668,,,,,,
473545,127.303205,26.228949,EPSG:6668,,,,,,
473553,127.228863,26.581744,EPSG:6668,,,,,,
473561,127.141122,26.37211,EPSG:6668,,,,,,
473570,131.231872,25.828903,EPSG:6668,,,,,,
473588,131.298917,25.945712,EPSG:6668,,,,,,
473596,127.96862,27.039169,EPSG:6668,,,,,,
473600,127.941188,26.924069,EPSG:6668,,,,,,
473618,126.805021,26.340669,EPSG:6668,,,,,,
473626,127.718645,26.158192,EPSG:6668,,,,,,
473758,124.701693,24.669449,EPSG:6668,,,,,,
473812,124.154437,24.339763,EPSG:6668,,,,,,
473821,123.004496,24.468034,EPSG:6668,,,,,,
