lg_code,rep_lon,rep_lat,rep_srid,rep_scale,plygn_fname,plygn_kcode,plygn_fmt,plygn_srid,plygn_scale
041009,140.869617,38.268008,EPSG:6668,,,,,,
041017,140.870378,38.269087,EPSG:6668,,,,,,
041025,140.909841,38.266189,EPSG:6668,,,,,,
041033,140.900748,38.24418,EPSG:6668,,,,,,
041041,140.877212,38.224395,EPSG:6668,,,,,,
041050,140.881615,38.326361,EPSG:6668,,,,,,
042021,141.302906,38.434457,EPSG:6668,,,,,,
042030,141.02203,38.31436,EPSG:6668,,,,,,
042056,141.570044,38.908127,EPSG:6668,,,,,,
042064,140.619888,38.002467,EPSG:6668,,,,,,
042072,140.891849,38.171501,EPSG:6668,,,,,,
042081,140.781543,37.977016,EPSG:6668,,,,,,
042099,141.004369,38.293803,EPSG:6668,,,,,,
042111,140.869949,38.104303,EPSG:6668,,,,,,
042129,141.18772,38.691856,EPSG:6668,,,,,,
042137,141.021508,38.730062,EPSG:6668,,,,,,
042145,141.210278,38.426134,EPSG:6668,,,,,,
042153,140.955565,38.577132,EPSG:6668,,,,,,
042161,140.895485,38.399918,EPSG:6668,,,,,,
043010,140.65868,38.098128,EPSG:6668,,,,,,
043028,140.441615,37.993063,EPSG:6668,,,,,,
043214,140.730774,38.049412,EPSG:6668,,,,,,
043222,140.722404,38.118589,EPSG:6668,,,,,,
043231,140.765798,38.056599,EPSG:6668,,,,,,
043249,140.643188,38.177751,EPSG:6668,,,,,,
043419,140.765365,37.911536,EPSG:6668,,,,,,
043613,140.867917,38.044251,EPSG:6668,,,,,,
043621,140.877529,37.962405,EPSG:6668,,,,,,
044016,141.067291,38.380149,EPSG:6668,,,,,,
044041,141.059143,38.304554,EPSG:6668,,,,,,
044067,140.975793,38.330355,EPSG:6668,,,,,,
044211,140.886309,38.43733,EPSG:6668,,,,,,
044229,141.00446,38.424244,EPSG:6668,,,,,,
044245,140.879982,38.467278,EPSG:6668,,,,,,
044440,140.849876,38.548921,EPSG:6668,,,,,,
044458,140.854759,38.57177,EPSG:6668,,,,,,
045012,141.128105,38.539704,EPSG:6668,,,,,,
045055,141.056717,38.5444,EPSG:6668,,,,,,
045811,141.442972,38.445417,EPSG:6668,,,,,,
046060,141.462552,38.680707,EPSG:6668,,,,,,
