lg_code,rep_lon,rep_lat,rep_srid,rep_scale,plygn_fname,plygn_kcode,plygn_fmt,plygn_srid,plygn_scale
271004,135.502046,34.693891,EPSG:6668,,,,,,
271021,135.52809,34.701279,EPSG:6668,,,,,,
271039,135.472232,34.692357,EPSG:6668,,,,,,
271047,135.452225,34.683038,EPSG:6668,,,,,,
271063,135.486111,34.676384,EPSG:6668,,,,,,
271071,135.460611,34.663918,EPSG:6668,,,,,,
271080,135.472694,34.650417,EPSG:6668,,,,,,
271098,135.51937,34.657869,EPSG:6668,,,,,,
271110,135.49955,34.659419,EPSG:6668,,,,,,
271136,135.456202,34.711409,EPSG:6668,,,,,,
271144,135.52934,34.741313,EPSG:6668,,,,,,
271152,135.541223,34.669996,EPSG:6668,,,,,,
271161,135.534447,34.653745,EPSG:6668,,,,,,
271179,135.544142,34.721266,EPSG:6668,,,,,,
271187,135.544472,34.703253,EPSG:6668,,,,,,
271195,135.518499,34.638969,EPSG:6668,,,,,,
271209,135.500498,34.603718,EPSG:6668,,,,,,
271217,135.526612,34.622118,EPSG:6668,,,,,,
271225,135.494587,34.635058,EPSG:6668,,,,,,
271233,135.486746,34.721006,EPSG:6668,,,,,,
271241,135.57419,34.704566,EPSG:6668,,,,,,
271250,135.482717,34.60967,EPSG:6668,,,,,,
271268,135.545999,34.62116,EPSG:6668,,,,,,
271276,135.510095,34.705581,EPSG:6668,,,,,,
271284,135.509687,34.681225,EPSG:6668,,,,,,
271403,135.48302,34.573354,EPSG:6668,,,,,,
271411,135.48302,34.573354,EPSG:6668,,,,,,
271420,135.498724,34.528312,EPSG:6668,,,,,,
271438,135.536474,34.538228,EPSG:6668,,,,,,
271446,135.464014,34.535063,EPSG:6668,,,,,,
271454,135.49054,34.486444,EPSG:6668,,,,,,
271462,135.517192,34.565478,EPSG:6668,,,,,,
271471,135.559827,34.538483,EPSG:6668,,,,,,
272027,135.370871,34.460597,EPSG:6668,,,,,,
272035,135.469889,34.781239,EPSG:6668,,,,,,
272043,135.428555,34.821686,EPSG:6668,,,,,,
272051,135.516799,34.759405,EPSG:6668,,,,,,
272060,135.410472,34.504268,EPSG:6668,,,,,,
272078,135.617216,34.8461,EPSG:6668,,,,,,
272086,135.358431,34.437686,EPSG:6668,,,,,,
272094,135.561714,34.735935,EPSG:6668,,,,,,
272108,135.650642,34.814465,EPSG:6668,,,,,,
272116,135.568503,34.816153,EPSG:6668,,,,,,
272124,135.600948,34.626884,EPSG:6668,,,,,,
272132,135.327337,34.406839,EPSG:6668,,,,,,
272141,135.59728,34.499675,EPSG:6668,,,,,,
272159,135.628008,34.766079,EPSG:6668,,,,,,
272167,135.564119,34.458107,EPSG:6668,,,,,,
272175,135.551786,34.577901,EPSG:6668,,,,,,
272183,135.623471,34.712013,EPSG:6668,,,,,,
272191,135.423624,34.483635,EPSG:6668,,,,,,
272205,135.470379,34.826929,EPSG:6668,,,,,,
272213,135.628642,34.579305,EPSG:6668,,,,,,
272221,135.606226,34.558002,EPSG:6668,,,,,,
272230,135.586899,34.739145,EPSG:6668,,,,,,
272248,135.561886,34.777387,EPSG:6668,,,,,,
272256,135.442395,34.520673,EPSG:6668,,,,,,
272264,135.597476,34.574283,EPSG:6668,,,,,,
272272,135.600898,34.679324,EPSG:6668,,,,,,
272281,135.2733,34.366007,EPSG:6668,,,,,,
272299,135.639727,34.740064,EPSG:6668,,,,,,
272302,135.679978,34.787958,EPSG:6668,,,,,,
272311,135.555748,34.503718,EPSG:6668,,,,,,
272329,135.239656,34.359594,EPSG:6668,,,,,,
273015,135.663009,34.883819,EPSG:6668,,,,,,
273210,135.494096,34.91885,EPSG:6668,,,,,,
273228,135.414189,34.972445,EPSG:6668,,,,,,
273414,135.401497,34.487125,EPSG:6668,,,,,,
273619,135.355863,34.401308,EPSG:6668,,,,,,
273627,135.291176,34.393782,EPSG:6668,,,,,,
273660,135.142085,34.3169,EPSG:6668,,,,,,
273813,135.647734,34.518656,EPSG:6668,,,,,,
273821,135.62988,34.491637,EPSG:6668,,,,,,
273830,135.622531,34.464601,EPSG:6668,,,,,,
