lg_code,rep_lon,rep_lat,rep_srid,rep_scale,plygn_fname,plygn_kcode,plygn_fmt,plygn_srid,plygn_scale
092011,139.882807,36.555115,EPSG:6668,,,,,,
092029,139.449696,36.340146,EPSG:6668,,,,,,
092037,139.7341111,36.38241388,EPSG:6668,,,,,,
092045,139.578369,36.314354,EPSG:6668,,,,,,
092053,139.745098,36.56712,EPSG:6668,,,,,,
092061,139.698204,36.719861,EPSG:6668,,,,,,
092088,139.800132,36.314477,EPSG:6668,,,,,,
092096,140.013428,36.440427,EPSG:6668,,,,,,
092100,140.015458,36.871076,EPSG:6668,,,,,,
092118,139.924226,36.806732,EPSG:6668,,,,,,
092134,140.046044,36.96169,EPSG:6668,,,,,,
092142,139.966474,36.685295,EPSG:6668,,,,,,
092151,140.151376,36.656891,EPSG:6668,,,,,,
092169,139.851928,36.39521,EPSG:6668,,,,,,
093017,139.910214,36.439268,EPSG:6668,,,,,,
093424,140.093381,36.467353,EPSG:6668,,,,,,
093432,140.187535,36.532184,EPSG:6668,,,,,,
093441,140.102113,36.543242,EPSG:6668,,,,,,
093459,140.058199,36.548212,EPSG:6668,,,,,,
093611,139.814656,36.442168,EPSG:6668,,,,,,
093645,139.740818,36.233263,EPSG:6668,,,,,,
093840,139.85752,36.779292,EPSG:6668,,,,,,
093866,139.986672,36.630976,EPSG:6668,,,,,,
094072,140.121008,37.01977,EPSG:6668,,,,,,
094111,140.172227,36.736223,EPSG:6668,,,,,,
