lg_code,rep_lon,rep_lat,rep_srid,rep_scale,plygn_fname,plygn_kcode,plygn_fmt,plygn_srid,plygn_scale
362018,134.554713,34.070234,EPSG:6668,,,,,,
362026,134.6088,34.17259,EPSG:6668,,,,,,
362034,134.590603,34.004713,EPSG:6668,,,,,,
362042,134.659566,33.921762,EPSG:6668,,,,,,
362051,134.358667,34.066235,EPSG:6668,,,,,,
362069,134.297578,34.102131,EPSG:6668,,,,,,
362077,134.169725,34.053387,EPSG:6668,,,,,,
362085,133.80718,34.026044,EPSG:6668,,,,,,
363014,134.511251,33.931453,EPSG:6668,,,,,,
363022,134.401819,33.888841,EPSG:6668,,,,,,
363219,134.457555,33.993775,EPSG:6668,,,,,,
363413,134.440764,34.074698,EPSG:6668,,,,,,
363421,134.350531,33.967225,EPSG:6668,,,,,,
363685,134.496736,33.857497,EPSG:6668,,,,,,
363839,134.420661,33.668312,EPSG:6668,,,,,,
363871,134.535413,33.734573,EPSG:6668,,,,,,
363880,134.351866,33.602043,EPSG:6668,,,,,,
364011,134.580537,34.133849,EPSG:6668,,,,,,
364029,134.546985,34.125594,EPSG:6668,,,,,,
364037,134.495112,34.126776,EPSG:6668,,,,,,
364045,134.462616,34.144364,EPSG:6668,,,,,,
364053,134.404999,34.121365,EPSG:6668,,,,,,
364681,134.064051,34.037307,EPSG:6668,,,,,,
364894,133.93676,34.036785,EPSG:6668,,,,,,
