lg_code,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,efct_date,ablt_date,remarks
331007,岡山県,オカヤマケン,Okayama,,,,岡山市,オカヤマシ,Okayama-shi,,,,1947-04-17,,
331015,岡山県,オカヤマケン,Okayama,,,,岡山市,オカヤマシ,Okayama-shi,北区,キタク,Kita-ku,1947-04-17,,
331023,岡山県,オカヤマケン,Okayama,,,,岡山市,オカヤマシ,Okayama-shi,中区,ナカク,Naka-ku,1947-04-17,,
331031,岡山県,オカヤマケン,Okayama,,,,岡山市,オカヤマシ,Okayama-shi,東区,ヒガシク,Higashi-ku,1947-04-17,,
331040,岡山県,オカヤマケン,Okayama,,,,岡山市,オカヤマシ,Okayama-shi,南区,ミナミク,Minami-ku,1947-04-17,,
332020,岡山県,オカヤマケン,Okayama,,,,倉敷市,クラシキシ,Kurashiki-shi,,,,1947-04-17,,
332038,岡山県,オカヤマケン,Okayama,,,,津山市,ツヤマシ,Tsuyama-shi,,,,1947-04-17,,
332046,岡山県,オカヤマケン,Okayama,,,,玉野市,タマノシ,Tamano-shi,,,,1947-04-17,,
332054,岡山県,オカヤマケン,Okayama,,,,笠岡市,カサオカシ,Kasaoka-shi,,,,1947-04-17,,
332071,岡山県,オカヤマケン,Okayama,,,,井原市,イバラシ,Ibara-shi,,,,1947-04-17,,
332089,岡山県,オカヤマケン,Okayama,,,,総社市,ソウジャシ,Soja-shi,,,,1947-04-17,,
332097,岡山県,オカヤマケン,Okayama,,,,高梁市,タカハシシ,Takahashi-shi,,,,1947-04-17,,
332101,岡山県,オカヤマケン,Okayama,,,,新見市,ニイミシ,Niimi-shi,,,,1947-04-17,,
332119,岡山県,オカヤマケン,Okayama,,,,備前市,ビゼンシ,Bizen-shi,,,,1947-04-17,,
332127,岡山県,オカヤマケン,Okayama,,,,瀬戸内市,セトウチシ,Setochi-shi,,,,1947-04-17,,
332135,岡山県,オカヤマケン,Okayama,,,,赤磐市,アカイワシ,Akaiwa-shi,,,,1947-04-17,,
332143,岡山県,オカヤマケン,Okayama,,,,真庭市,マニワシ,Maniwa-shi,,,,1947-04-17,,
332151,岡山県,オカヤマケン,Okayama,,,,美作市,ミマサカシ,Mimasaka-shi,,,,1947-04-17,,
332160,岡山県,オカヤマケン,Okayama,,,,浅口市,アサクチシ,Asakuchi-shi,,,,1947-04-17,,
333468,岡山県,オカヤマケン,Okayama,和気郡,ワケグン,Wake-gun,和気町,ワケチョウ,Wake-cho,,,,1947-04-17,,
334235,岡山県,オカヤマケン,Okayama,都窪郡,ツクボグン,Tsukubo-gun,早島町,ハヤシマチョウ,Hayashima-cho,,,,1947-04-17,,
334456,岡山県,オカヤマケン,Okayama,浅口郡,アサクチグン,Asakuchi-gun,里庄町,サトショウチョウ,Satosho-cho,,,,1947-04-17,,
334618,岡山県,オカヤマケン,Okayama,小田郡,オダグン,Oda-gun,矢掛町,ヤカゲチョウ,Yakage-cho,,,,1947-04-17,,
335860,岡山県,オカヤマケン,Okayama,真庭郡,マニワグン,Maniwa-gun,新庄村,シンジョウソン,Shinjo-son,,,,1947-04-17,,
336068,岡山県,オカヤマケン,Okayama,苫田郡,トマタグン,Tomata-gun,鏡野町,カガミノチョウ,Kagamino-cho,,,,1947-04-17,,
336220,岡山県,オカヤマケン,Okayama,勝田郡,カツタグン,Katsuta-gun,勝央町,ショウオウチョウ,Shoo-cho,,,,1947-04-17,,
336238,岡山県,オカヤマケン,Okayama,勝田郡,カツタグン,Katsuta-gun,奈義町,ナギチョウ,Nagi-cho,,,,1947-04-17,,
336432,岡山県,オカヤマケン,Okayama,英田郡,アイダグン,Aida-gun,西粟倉村,ニシアワクラソン,Nishiawakura-son,,,,1947-04-17,,
336637,岡山県,オカヤマケン,Okayama,久米郡,クメグン,Kume-gun,久米南町,クメナンチョウ,Kumenan-cho,,,,1947-04-17,,
336661,岡山県,オカヤマケン,Okayama,久米郡,クメグン,Kume-gun,美咲町,ミサキチョウ,Misaki-cho,,,,1947-04-17,,
336815,岡山県,オカヤマケン,Okayama,加賀郡,カガグン,Kaga-gun,吉備中央町,キビチュウオウチョウ,Kibichuo-cho,,,,1947-04-17,,
