lg_code,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,efct_date,ablt_date,remarks
102016,群馬県,グンマケン,Gumma,,,,前橋市,マエバシシ,Maebashi-shi,,,,1947-04-17,,
102024,群馬県,グンマケン,Gumma,,,,高崎市,タカサキシ,Takasaki-shi,,,,1947-04-17,,
102032,群馬県,グンマケン,Gumma,,,,桐生市,キリュウシ,Kiryu-shi,,,,1947-04-17,,
102041,群馬県,グンマケン,Gumma,,,,伊勢崎市,イセサキシ,Isesaki-shi,,,,1947-04-17,,
102059,群馬県,グンマケン,Gumma,,,,太田市,オオタシ,Ota-shi,,,,1947-04-17,,
102067,群馬県,グンマケン,Gumma,,,,沼田市,ヌマタシ,Numata-shi,,,,1947-04-17,,
102075,群馬県,グンマケン,Gumma,,,,館林市,タテバヤシシ,Tatebayashi-shi,,,,1947-04-17,,
102083,群馬県,グンマケン,Gumma,,,,渋川市,シブカワシ,Shibukawa-shi,,,,1947-04-17,,
102091,群馬県,グンマケン,Gumma,,,,藤岡市,フジオカシ,Fujioka-shi,,,,1947-04-17,,
102105,群馬県,グンマケン,Gumma,,,,富岡市,トミオカシ,Tomioka-shi,,,,1947-04-17,,
102113,群馬県,グンマケン,Gumma,,,,安中市,アンナカシ,Annaka-shi,,,,1947-04-17,,
102121,群馬県,グンマケン,Gumma,,,,みどり市,ミドリシ,Midori-shi,,,,1947-04-17,,
103446,群馬県,グンマケン,Gumma,北群馬郡,キタグンマグン,Kitagumma-gun,榛東村,シントウムラ,Shinto-mura,,,,1947-04-17,,
103454,群馬県,グンマケン,Gumma,北群馬郡,キタグンマグン,Kitagumma-gun,吉岡町,ヨシオカマチ,Yoshioka-machi,,,,1947-04-17,,
103667,群馬県,グンマケン,Gumma,多野郡,タノグン,Tano-gun,上野村,ウエノムラ,Ueno-mura,,,,1947-04-17,,
103675,群馬県,グンマケン,Gumma,多野郡,タノグン,Tano-gun,神流町,カンナマチ,Kanna-machi,,,,1947-04-17,,
103829,群馬県,グンマケン,Gumma,甘楽郡,カンラグン,Kanra-gun,下仁田町,シモニタマチ,Shimonita-machi,,,,1947-04-17,,
103837,群馬県,グンマケン,Gumma,甘楽郡,カンラグン,Kanra-gun,南牧村,ナンモクムラ,Nammoku-mura,,,,1947-04-17,,
103845,群馬県,グンマケン,Gumma,甘楽郡,カンラグン,Kanra-gun,甘楽町,カンラマチ,Kanra-machi,,,,1947-04-17,,
104213,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,中之条町,ナカノジョウマチ,Nakanojo-machi,,,,1947-04-17,,
104248,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,長野原町,ナガノハラマチ,Naganohara-machi,,,,1947-04-17,,
104256,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,嬬恋村,ツマゴイムラ,Tsumagoi-mura,,,,1947-04-17,,
104264,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,草津町,クサツマチ,Kusatsu-machi,,,,1947-04-17,,
104281,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,高山村,タカヤマムラ,Takayama-mura,,,,1947-04-17,,
104299,群馬県,グンマケン,Gumma,吾妻郡,アガツマグン,Agatsuma-gun,東吾妻町,ヒガシアガツママチ,Higashiagatsuma-machi,,,,1947-04-17,,
104434,群馬県,グンマケン,Gumma,利根郡,トネグン,Tone-gun,片品村,カタシナムラ,Katashina-mura,,,,1947-04-17,,
104442,群馬県,グンマケン,Gumma,利根郡,トネグン,Tone-gun,川場村,カワバムラ,Kawaba-mura,,,,1947-04-17,,
104485,群馬県,グンマケン,Gumma,利根郡,トネグン,Tone-gun,昭和村,ショウワムラ,Showa-mura,,,,1947-04-17,,
104493,群馬県,グンマケン,Gumma,利根郡,トネグン,Tone-gun,みなかみ町,ミナカミマチ,Minakami-machi,,,,1947-04-17,,
104647,群馬県,グンマケン,Gumma,佐波郡,サワグン,Sawa-gun,玉村町,タマムラマチ,Tamamura-machi,,,,1947-04-17,,
105210,群馬県,グンマケン,Gumma,邑楽郡,オウラグン,Ora-gun,板倉町,イタクラマチ,Itakura-machi,,,,1947-04-17,,
105228,群馬県,グンマケン,Gumma,邑楽郡,オウラグン,Ora-gun,明和町,メイワマチ,Meiwa-machi,,,,1947-04-17,,
105236,群馬県,グンマケン,Gumma,邑楽郡,オウラグン,Ora-gun,千代田町,チヨダマチ,Chiyoda-machi,,,,1947-04-17,,
105244,群馬県,グンマケン,Gumma,邑楽郡,オウラグン,Ora-gun,大泉町,オオイズミマチ,Oizumi-machi,,,,1947-04-17,,
105252,群馬県,グンマケン,Gumma,邑楽郡,オウラグン,Ora-gun,邑楽町,オウラマチ,Ora-machi,,,,1947-04-17,,
