lg_code,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,efct_date,ablt_date,remarks
341002,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,,,,1947-04-17,,
341011,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,中区,ナカク,Naka-ku,1947-04-17,,
341029,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,東区,ヒガシク,Higashi-ku,1947-04-17,,
341037,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,南区,ミナミク,Minami-ku,1947-04-17,,
341045,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,西区,ニシク,Nishi-ku,1947-04-17,,
341053,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,安佐南区,アサミナミク,Asaminami-ku,1947-04-17,,
341061,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,安佐北区,アサキタク,Asakita-ku,1947-04-17,,
341070,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,安芸区,アキク,Aki-ku,1947-04-17,,
341088,広島県,ヒロシマケン,Hiroshima,,,,広島市,ヒロシマシ,Hiroshima-shi,佐伯区,サエキク,Saeki-ku,1947-04-17,,
342025,広島県,ヒロシマケン,Hiroshima,,,,呉市,クレシ,Kure-shi,,,,1947-04-17,,
342033,広島県,ヒロシマケン,Hiroshima,,,,竹原市,タケハラシ,Takehara-shi,,,,1947-04-17,,
342041,広島県,ヒロシマケン,Hiroshima,,,,三原市,ミハラシ,Mihara-shi,,,,1947-04-17,,
342050,広島県,ヒロシマケン,Hiroshima,,,,尾道市,オノミチシ,Onomichi-shi,,,,1947-04-17,,
342076,広島県,ヒロシマケン,Hiroshima,,,,福山市,フクヤマシ,Fukuyama-shi,,,,1947-04-17,,
342084,広島県,ヒロシマケン,Hiroshima,,,,府中市,フチュウシ,Fuchu-shi,,,,1947-04-17,,
342092,広島県,ヒロシマケン,Hiroshima,,,,三次市,ミヨシシ,Miyoshi-shi,,,,1947-04-17,,
342106,広島県,ヒロシマケン,Hiroshima,,,,庄原市,ショウバラシ,Shobara-shi,,,,1947-04-17,,
342114,広島県,ヒロシマケン,Hiroshima,,,,大竹市,オオタケシ,Otake-shi,,,,1947-04-17,,
342122,広島県,ヒロシマケン,Hiroshima,,,,東広島市,ヒガシヒロシマシ,Higashihiroshima-shi,,,,1947-04-17,,
342131,広島県,ヒロシマケン,Hiroshima,,,,廿日市市,ハツカイチシ,Hatsukaichi-shi,,,,1947-04-17,,
342149,広島県,ヒロシマケン,Hiroshima,,,,安芸高田市,アキタカタシ,Akitakata-shi,,,,1947-04-17,,
342157,広島県,ヒロシマケン,Hiroshima,,,,江田島市,エタジマシ,Etajima-shi,,,,1947-04-17,,
343021,広島県,ヒロシマケン,Hiroshima,安芸郡,アキグン,Aki-gun,府中町,フチュウチョウ,Fuchu-cho,,,,1947-04-17,,
343048,広島県,ヒロシマケン,Hiroshima,安芸郡,アキグン,Aki-gun,海田町,カイタチョウ,Kaita-cho,,,,1947-04-17,,
343072,広島県,ヒロシマケン,Hiroshima,安芸郡,アキグン,Aki-gun,熊野町,クマノチョウ,Kumano-cho,,,,1947-04-17,,
343099,広島県,ヒロシマケン,Hiroshima,安芸郡,アキグン,Aki-gun,坂町,サカチョウ,Saka-cho,,,,1947-04-17,,
343684,広島県,ヒロシマケン,Hiroshima,山県郡,ヤマガタグン,Yamagata-gun,安芸太田町,アキオオタチョウ,Akiota-cho,,,,1947-04-17,,
343692,広島県,ヒロシマケン,Hiroshima,山県郡,ヤマガタグン,Yamagata-gun,北広島町,キタヒロシマチョウ,Kitahiroshima-cho,,,,1947-04-17,,
344311,広島県,ヒロシマケン,Hiroshima,豊田郡,トヨタグン,Toyota-gun,大崎上島町,オオサキカミジマチョウ,Osakikamijima-cho,,,,1947-04-17,,
344621,広島県,ヒロシマケン,Hiroshima,世羅郡,セラグン,Sera-gun,世羅町,セラチョウ,Sera-cho,,,,1947-04-17,,
345458,広島県,ヒロシマケン,Hiroshima,神石郡,ジンセキグン,Jinseki-gun,神石高原町,ジンセキコウゲンチョウ,Jinsekikogen-cho,,,,1947-04-17,,
